zone,district
1261,Hillsboro
1262,Hillsboro
1263,Hillsboro
1264,Beaverton
1265,Beaverton
1266,Hillsboro
1267,Hillsboro
1268,Hillsboro
1269,Hillsboro
1270,Hillsboro
1271,Hillsboro
1272,Hillsboro
1273,Hillsboro
1274,Hillsboro
1275,Hillsboro
1276,Hillsboro
1277,Hillsboro
1278,Hillsboro
1279,Hillsboro
1280,Hillsboro
1281,Hillsboro
1282,Hillsboro
1283,Hillsboro
1284,Hillsboro
1285,Hillsboro
1286,Hillsboro
1287,Hillsboro
1288,Hillsboro
1289,Beaverton
1290,Beaverton
1291,Beaverton
1292,Hillsboro
1293,Hillsboro
1294,Hillsboro
1295,Hillsboro
1296,Hillsboro
1297,Hillsboro
1298,Hillsboro
1299,Hillsboro
1300,Hillsboro
1301,Hillsboro
1302,Hillsboro
1303,Hillsboro
1304,Hillsboro
1305,Hillsboro
1306,Hillsboro
1307,Hillsboro
1308,Hillsboro
1309,Hillsboro
1310,Hillsboro
